Title,Subject,WhyItMatters,TipSteps,TryPrompt,LearnUrl,LearnLabel,VideoUrl,VideoLabel,WorksWith,Notes
Draft a first version in Word,Friday Copilot Tip: Let Copilot write the first draft,"Go from a blank page to a workable draft in minutes, then add your own expertise.","Open a blank document (or place your cursor where you want new text) | Open Copilot in the bottom-right corner and describe what you need: topic, audience, tone, length | Type / to point Copilot at a file if you have one, then select Generate | Keep, regenerate or refine it - or select any text and ask Copilot to rewrite it","Draft a one-page overview of our new visitor check-in process for front-desk staff. Use a friendly tone, short paragraphs, and a numbered list of steps.",https://support.microsoft.com/en-us/word/copilot/draft-and-add-content-with-copilot-in-word,Draft and add content with Copilot in Word,https://www.youtube.com/watch?v=bhrzuyPIgvQ,Compose and summarize documents with Microsoft 365 Copilot in Word,Microsoft 365 Copilot license,"Learn page 200 OK; steps match 'Create a draft with Copilot' section (Copilot opens bottom-right; '/' to reference a file; Generate; keep/discard/regenerate/refine). Page also covers rewriting selected text; see also 'Edit content and rewrite' (support.microsoft.com/en-us/word/copilot/edit-rewrite-content, 200) with Replace/Insert below/Regenerate. Some experiences are rolling out gradually. Video verified via oEmbed; channel 'Microsoft Learn', published Jul 29 2025 (older UI may differ slightly)."
Summarize a PowerPoint deck,Friday Copilot Tip: 40 slides? Get the highlights,Understand the key points of a long presentation before a meeting without clicking through every slide.,Open the presentation in PowerPoint | Select the Copilot button to open the Copilot pane | Type Summarize this presentation and send | Try Show key slides or Show action items next,"Summarize this presentation in 5 bullets, then list 3 questions the audience is likely to ask.",https://support.microsoft.com/en-us/powerpoint/copilot/summarize-your-presentation-with-copilot-in-powerpoint,Summarize your presentation with Copilot in PowerPoint,https://www.youtube.com/watch?v=KGRVWr3oZF8,Summarize a Presentation in Seconds,Microsoft 365 Copilot license,"Learn page 200 OK; steps match; summarizes up to ~40,000 words; page embeds a video. The Copilot button location varies (ribbon on this page; newer PowerPoint pages say bottom-right of the slide). Needs a Copilot license (Copilot in PowerPoint moved to licensed users only on Apr 15 2026). Video verified via oEmbed; channel 'Microsoft Copilot', published Aug 5 2026."
Ask Excel questions about your data,Friday Copilot Tip: Ask your spreadsheet a question,"Spot trends, totals and outliers in plain English, no formulas required.",Open a workbook with your data | Select the Copilot icon in the lower-right corner of Excel | Ask a question and name the columns you care about | Review the result (and ask Copilot to explain any formula it adds),Which region had the highest and lowest sales? Show the answer as a chart and explain any outliers.,https://support.microsoft.com/en-us/excel/copilot/data-insights-with-copilot-in-excel,Get data insights with Copilot in Excel,https://www.youtube.com/watch?v=3_40V0wTmYo,Analyze Data in Seconds | Microsoft 365,Microsoft 365 Copilot license,"Learn page 200 OK; prompt ideas and 'name the columns' tip from page; also supports 'Explain the formula in the selected cell' - great for inherited workbooks. Copilot in Excel opens in edit mode by default and can change the workbook; choose Chat only mode to just ask questions ('Get started with Copilot in Excel', 200). Video verified via oEmbed; channel 'Microsoft Copilot', published Jun 17 2026 (uses workout data as the example)."
Turn OneNote notes into a summary,Friday Copilot Tip: From messy notes to clear summary,Turn pages of meeting or call notes into a tidy summary or to-do list you can share.,"In OneNote, go to the page you want summarized | On the Home tab, select Copilot | Type what you want, e.g. a bulleted summary or a to-do list | Select Send, review, then Copy the result into OneNote or an email","Summarize the notes on this page in bullet points, then create a to-do list with any tasks and due dates mentioned.",https://support.microsoft.com/en-us/onenote/copilot-pages/summarize-your-onenote-notes-with-microsoft-365-copilot,Summarize your OneNote notes with Microsoft Copilot,,,Microsoft 365 Copilot license,"Learn page 200 OK (old /office/...89e1f3cd URL redirects here); steps match (Home tab > Copilot, compose box, Send, Copy). No official Microsoft YouTube video found for current OneNote Copilot, so left blank; Microsoft's own 46-second video is on 'Copilot tutorial: Summarize and identify to-do items with Copilot in OneNote' (support.microsoft.com/en-us/microsoft-365-copilot/copilot-tutorial-summarize-and-identify-to-do-items-with-copilot-in-onenote, 200). Needs a Copilot license."
Use Copilot on your phone,Friday Copilot Tip: Take Copilot with you,"Ask quick questions, draft replies or pick up a desktop chat while you're away from your desk.",Download the Microsoft Copilot app from the App Store or Google Play | Sign in with your work account | Type a question in Chat | Open the menu and choose Conversations to continue a chat you started on your computer,"I have 10 minutes between meetings. Help me write a short, friendly text to a client confirming tomorrow's 2 pm appointment.",https://support.microsoft.com/en-us/microsoft-365-copilot/get-started-with-the-microsoft-365-copilot-mobile-app,Get started with the Microsoft Copilot mobile app,https://www.youtube.com/watch?v=9emIwSmD_dY,How to use Copilot on Mobile vs. Web: A Beginner's Guide,Copilot Chat (everyone),"Learn page 200 OK (last updated Feb 2026); 'Conversations' step from 'Stay productive on the go with the Microsoft Copilot mobile app' (200, embeds video). Without a license, answers are web-grounded; work-data answers need a license. Voice chat ('Speak') currently needs priority access, i.e. a Copilot license, per 'Standard versus priority access' page - so it's left out of the steps. Video verified via oEmbed; channel 'Microsoft Copilot', published Sep 3 2025."
Save your favorite prompts to reuse,Friday Copilot Tip: Stop retyping your best prompts,Save prompts you use often so you can rerun them with one click instead of retyping.,"Run a prompt you like in Copilot Chat | Hover over your prompt and select the bookmark icon (Save prompt), then give it a clear name | Later, select a prompt pill or ... below the message box to open the Prompt Lab | Go to Your saved prompts and pick one",Review and summarize today's emails and provide a list of action items.,https://support.microsoft.com/en-us/microsoft-365-copilot/save-your-favorite-prompts-to-use-again,Save your favorite prompts to use again,https://www.youtube.com/watch?v=t3BNdiBHTOo,Use Copilot Prompt Gallery,Copilot Chat (everyone),"Learn page 200 OK; steps combine this page with 'Changes to the Copilot Prompt Lab' (support.microsoft.com/en-us/microsoft-365-copilot/changes-to-the-copilot-prompt-gallery-app, 200), which says the standalone app was retired July 2025 and prompts now live in the Prompt Lab inside Copilot Chat. Name changed Prompt Gallery -> Prompt Lab, so the video (Jul 3 2025) says 'Prompt Gallery'. Video verified via oEmbed; channel 'Microsoft 365 Copilot help & learning'; its description says the gallery is in Copilot Chat included with business subscriptions. TryPrompt is Microsoft's own example; the email part needs a license, so unlicensed users should save a web/file prompt instead."
Tell Copilot how you like your answers,Friday Copilot Tip: Teach Copilot your preferences,"Set your preferences once (like bullets, plain English or short answers) and Copilot uses them every time.","In Copilot Chat, select ... Settings and more, then Chat settings | Select Personalization and find Custom instructions | Select Edit instructions and describe how you like responses | Select Save instructions","Use plain, jargon-free English. Start with a one-line summary, then use short bullet points. Keep answers under 150 words unless I ask for more.",https://support.microsoft.com/en-us/microsoft-365-copilot/customize-how-microsoft-365-copilot-responds-to-you,Customize how Microsoft Copilot responds to you,,,Copilot Chat (everyone),"Learn page 200 OK; steps match. Microsoft Learn 'Manage Copilot personalization and memory' (learn.microsoft.com/en-us/microsoft-365/copilot/copilot-personalization-memory, 200) states Copilot memory is available to Copilot Chat users with and without a license; admins can turn personalization off. Related: 'Manage Copilot Memory' (say 'remember that...', manage/delete in Chat settings) and temporary chat. No official Microsoft YouTube video found (only third-party), so left blank."
Turn a Copilot answer into a shareable Page,Friday Copilot Tip: Keep and share Copilot's best answers,"Save a useful answer as a Page you and your team can edit and keep building on, instead of losing it in chat history.","Ask Copilot Chat for something you'll reuse, like a checklist or plan | Below the response, select ... then Edit in Pages (or the pencil button) | Edit the page yourself or ask Copilot to update it | Share it with colleagues; find it later in your Library","Create a one-page checklist for onboarding a new team member in their first week, with sections for Day 1, Days 2-3 and Days 4-5.",https://support.microsoft.com/en-us/microsoft-365-copilot/get-started-with-microsoft-365-copilot-pages,Get started with Microsoft Copilot Pages,https://www.youtube.com/watch?v=oxxqw0E7Io8,Microsoft 365 Copilot | Copilot Pages,Copilot Chat (everyone),"Learn page 200 OK; states Pages is available to work accounts with SharePoint/OneDrive storage, including without a Copilot license. Steps match ('Edit in Pages', pencil button, Library). Page embeds its own video. YouTube video verified via oEmbed; channel 'Microsoft Copilot', published Sep 16 2024 - an early look, so buttons may look different. Related: Copilot Notebooks ('Get started with Microsoft Copilot Notebooks', 200) collects files, chats and pages in one place, also available to Copilot Chat users."
Let Prompt Coach improve your prompts,Friday Copilot Tip: Get a personal prompt-writing coach,"Prompt Coach looks at your request and suggests a clearer version, so you learn to get better answers.","Open Microsoft Copilot (microsoft365.com) and select Agents in the left panel | If Prompt Coach isn't listed, select All agents and add it | Paste a rough prompt and ask Prompt Coach to improve it | Use the improved prompt in Copilot Chat","Here's my prompt: 'write something about our holiday schedule.' Ask me any questions you need, then rewrite it into a clear prompt using goal, context, source and expectations.",https://support.microsoft.com/en-us/microsoft-365-copilot/agents-built-by-microsoft,Agents built by Microsoft,,,Copilot Chat (everyone),"Learn page 200 OK; lists Prompt Coach among Microsoft-built agents you add from 'All agents'. Microsoft Learn 'Agents for Microsoft Copilot Chat' (learn.microsoft.com/en-us/copilot/agents, 200) says agents grounded in instructions/public websites (like Prompt Coach) are available at no extra cost in Copilot Chat. Caveat: your admin must allow the agent - if it's missing or shows an error, contact IT. Also see Learn 'Create a Prompt Coach agent from a template' (200). Only third-party YouTube videos found, so left blank."
Use Researcher for deeper research,Friday Copilot Tip: Your personal research assistant,"Researcher digs through the web and your work files to produce a structured, source-cited report on complex questions.","In the Microsoft Copilot app, select Researcher under Agents | Type a specific question and say where to look (web, work files or both) | Answer its follow-up questions or say Go ahead | Review the report and its citations before you share it","Research the key trends affecting our industry over the next 12 months. Use both web sources and my work files, and give me a one-page report with a summary, 5 key trends and cited sources.",https://support.microsoft.com/en-us/microsoft-365-copilot/get-started-with-researcher-in-microsoft-365-copilot,Get started with Researcher in Microsoft Copilot,https://www.youtube.com/watch?v=YZawqPDwN9A,Use Microsoft 365 Copilot Researcher agent,Microsoft 365 Copilot license,"Learn page 200 OK; steps match (Agents > Researcher; clarifying questions; 'Go ahead'; structured cited report). Researcher needs a Microsoft 365 Copilot license and takes several minutes. Page embeds a video. For data questions, the sister agent Analyst: 'Get started with Analyst in Microsoft Copilot' (support.microsoft.com/en-us/microsoft-365-copilot/get-started-with-analyst-in-microsoft-365-copilot, 200). YouTube video verified via oEmbed; channel 'Microsoft 365 Copilot help & learning', published Feb 3 2026. Alternative: 'New reasoning agents: Researcher and Analyst in Microsoft 365 Copilot' (Microsoft Mechanics, youtube.com/watch?v=5ZVDNStqUCk)."
